lam_smooth,n_bases,block_C,average_precision,roc_auc,fail_f1,seconds
20.0,6,0.02,0.6566140109272349,0.9262514743599499,0.6080323499678338,116.4
20.0,6,0.1,0.6565986019606358,0.9262392310728197,0.6075363392278492,118.5
20.0,10,0.02,0.6564480771698614,0.9264462699039284,0.6091644204851752,118.6
20.0,10,0.1,0.6563869440903736,0.9264379032071175,0.6088161907402273,117.6
50000.0,6,0.1,0.6563420113684023,0.925894393389951,0.607742746788826,148.6
2000.0,6,0.1,0.6563367679838886,0.925912440124123,0.6076176787639238,116.4
2000.0,6,0.02,0.6563234044212729,0.9259011160713928,0.6077907726309973,114.0
50000.0,6,0.02,0.6562742043574469,0.9258815563439495,0.6073017049666419,135.0
2000.0,10,0.1,0.6203010562429017,0.9173684277810596,0.5794241636021168,126.6
2000.0,10,0.02,0.6202666690514229,0.9172634894793759,0.5785761309131948,145.1
50000.0,10,0.1,0.597569674999132,0.9113090061942485,0.5571800161449457,141.3
50000.0,10,0.02,0.5974518750817901,0.911214729555801,0.5568757483651101,151.5
