experiment,average_precision,roc_auc,fail_f1,fail_precision,fail_recall,accuracy,threshold,ap_std,f1_std,seconds
model_a_baseline,0.5822325958157623,0.8962904089904902,0.5500876921489735,0.8399495904221802,0.4089584292069336,0.9716886202665593,0.32676767676767676,0.027593496485060723,0.016021311979485635,79.97
model_a_gnn,0.5793672386684414,0.8950026011109954,0.5483060219161556,0.7955075845974329,0.4183156925908882,0.9708316832968702,0.30696969696969695,0.02685078186430069,0.015503319833041733,199.41
spatial_only_baseline,0.05216733021821283,0.56757060132494,0.09791972378075098,0.05516865735517255,0.43503604847369226,0.6607763069911774,0.059494949494949496,0.013085789292751821,0.023117391495693265,62.87
spatial_only_gnn,0.0520439671740742,0.5659518966177584,0.09591713190287213,0.05386315133430282,0.43749041263997546,0.6509669754669333,0.059494949494949496,0.01270509927461662,0.022121437853616612,177.05
