row,rank,feature,contribution,value
27254,1,spatial_wafer_die_count,-1.0753279675129601,4096.0
27254,2,spatial_wafer_rows,0.7735721370378685,72.0
27254,3,block_raw_median,0.7533035759624122,100.39500427246094
27254,4,spatial_wafer_cols,0.6866131173911358,72.0
27254,5,block_raw_scale,0.5886037530245259,10.92676067352295
27254,6,block_scan_gauss100,0.5509114814738738,2.7995595932006836
27254,7,block_scan_gauss150,0.3414074048361582,2.6030097007751465
27254,8,spatial_old_fail_density_w7,-0.2214977221824068,0.4897959232330322
27254,9,feature_433,0.21430630849352245,433.0383605957031
27254,10,feature_396,0.2109714336476412,0.44974416494369507
