experiment,repeat,fold,validation_wafers,validation_rows,validation_failures,average_precision
B_detrended,2,2,32,30502,1307,0.5711835560477282
B_detrended,2,3,33,30766,1296,0.5497033014314066
B_detrended,2,4,33,31024,1323,0.560518498662718
B_boost,0,0,31,30819,1301,0.5458035800691999
B_boost,0,1,32,30731,1289,0.5426951275806505
B_boost,0,2,32,30508,1311,0.5199018877022189
B_boost,0,3,33,31158,1319,0.5575178534836879
B_boost,0,4,32,30821,1299,0.5311348730478138
B_boost,1,0,32,30827,1290,0.54084767381858
B_boost,1,1,31,30718,1290,0.5354954006553897
B_boost,1,2,32,30526,1314,0.5254092436172868
B_boost,1,3,33,31187,1320,0.5711001506434319
B_boost,1,4,32,30779,1305,0.5322418928164655
B_boost,2,0,31,30835,1295,0.5436283529443
B_boost,2,1,31,30910,1298,0.5365437756650613
B_boost,2,2,32,30502,1307,0.5189000840738474
B_boost,2,3,33,30766,1296,0.5505060998197419
B_boost,2,4,33,31024,1323,0.5351414485295138
