threshold,average_precision,accuracy,pass_precision,pass_recall,pass_f1,fail_precision,fail_recall,fail_f1,tn,fp,fn,tp,roc_auc,experiment,backend,calibrated,features,eligible_rows,eligible_failures,wafers,weight_mode,C,alpha,note,seconds
0.6760324281579883,0.6209331238153938,0.971844426988321,0.9763585672746146,0.9946853943247603,0.985436779100418,0.7909333333333334,0.45497775732474305,0.5776609212192034,146734,784,3553,2966,0.9132234938069317,B_stacked_cal,stacked,True,541,154037,6519,160,sqrt,1.0,0.5,"Model B, plus the recovered per-wafer rate",46.7
0.6698423814391572,0.5863064803866233,0.971182248420834,0.9754181702187045,0.9949836630106157,0.9851037769090085,0.7921348314606742,0.4325816843074091,0.55957932334557,146778,740,3699,2820,0.890374008421905,B_stacked,stacked,False,541,154037,6519,160,sqrt,1.0,0.0,"Model B, diagonal parametric score + logistic head",45.5
0.7046847542126974,0.5732379656058526,0.9711173289534333,0.9749556811165039,0.9954107295380903,0.9850770298962537,0.8022780373831776,0.42138364779874216,0.5525495323343056,146841,677,3772,2747,0.8829013674112908,B_flat,linear,False,541,154037,6519,160,sqrt,1.0,0.0,"Model B, one logistic over all inputs (baseline recipe)",135.1
0.7197802038433955,0.5656769020073108,0.9721625323785844,0.9742087140776056,0.9973359183286108,0.9856366693687236,0.8697381504806099,0.4025157232704403,0.5503355704697986,147125,393,3895,2624,0.8769579944880916,B_detrended,stacked,False,551,154037,6519,160,sqrt,1.0,0.0,ablation: per-wafer gradient removal (rejected),50.5
0.7050466970057389,0.5523602857804456,0.9712341839947545,0.9735439929574202,0.9970579861440638,0.9851607004712005,0.8531799729364006,0.38686915171038505,0.5323482849604222,147084,434,3997,2522,0.8844482345740442,A_stacked_cal,stacked,True,514,154037,6519,160,sqrt,1.0,0.5,"Model A, plus the recovered per-wafer rate",46.8
0.33955257359591445,0.542980176291506,0.9704941020663866,0.9739949740413879,0.9957767865616399,0.9847654482377194,0.8065217391304348,0.3983739837398374,0.5333196426737858,146895,623,3922,2597,0.8674312561004696,B_boost,lightgbm,False,541,154037,6519,160,sqrt,1.0,0.0,ablation: gradient boosting on the same inputs,1404.7
0.6699413271749322,0.5238455527718147,0.9715847491187183,0.9731026778336715,0.997912119199013,0.9853512585467725,0.8883248730964467,0.3758245129621108,0.5281879918076965,147210,308,4069,2450,0.8526387302472983,A_stacked,stacked,False,514,154037,6519,160,sqrt,1.0,0.0,"Model A, diagonal parametric score + logistic head",46.8
0.7348824540774027,0.5127877693279195,0.9721885001655446,0.972713231508495,0.9989831749345842,0.9856731991171159,0.9408284023668639,0.36585365853658536,0.5268389662027833,147368,150,4134,2385,0.8421684091867363,parametric_only,linear,False,500,154037,6519,160,sqrt,1.0,0.0,die measurements alone,175.1
0.7215568820635477,0.5115902951866755,0.9717989833611405,0.9728460461306772,0.9984205317317209,0.9854673919588912,0.9117758424839076,0.3693818070256174,0.525764192139738,147285,233,4111,2408,0.8418843163639523,A_flat,linear,False,514,154037,6519,160,sqrt,1.0,0.0,"Model A, one logistic over all 513 inputs (baseline recipe)",184.3
0.33165785670280457,0.1371911720981886,0.8996539792387543,0.9672244825756235,0.9266191244458304,0.9464864995862804,0.14844241661422278,0.2894615738610216,0.19624564505225936,136693,10825,4632,1887,0.7259211878248752,block_only,linear,False,27,154037,6519,160,sqrt,1.0,0.0,sub-die readings alone,12.1
