experiment,average_precision,roc_auc,f1,precision,recall,brier_score,log_loss,ece,opt_threshold,ap_mean,ap_std,auc_mean,auc_std,f1_mean,f1_std,brier_mean,brier_std,logloss_mean,logloss_std,seconds,delta_brier,delta_logloss,delta_ap,delta_roc_auc,delta_f1,status
model_b_raw,0.6539500497060003,0.9251879929494555,0.6043693776390674,0.7524571428571428,0.5049854272127627,0.022105109696530276,0.08971048923392075,0.0008968726271908116,0.295,0.6544607157980665,0.01815014797596513,0.9252811750234724,0.006163277853939392,0.6069472431966071,0.014828004762500294,0.022104444001144523,0.0005991502973349804,0.08970504655212796,0.002732933417325744,176.1,0.0,0.0,0.0,0.0,0.0,BASELINE
model_b_platt,0.6538536443866436,0.9251631247473393,0.6043996333638864,0.7508540195855158,0.5057524160147262,0.022109604927381777,0.08971366263313116,0.000891867212790574,0.30499999999999994,0.6544607157980665,0.01815014797596513,0.9252811750234724,0.006163277853939392,0.6061510969356662,0.014457131540559977,0.022108934748907128,0.00059871917898136,0.08970812920577849,0.002710851912000712,176.1,4.495230851501303e-06,3.173399210409933e-06,-9.640531935672936e-05,-2.486820211622387e-05,3.025572481896166e-05,REJECT
model_b_isotonic,0.6508891137290909,0.9246521822403161,0.6035304006724572,0.7714899713467048,0.4956281638288081,0.022135171390731158,0.0898676127658138,0.0003986340895585428,0.32999999999999996,0.6451112758124478,0.01855161931636986,0.92503948091978,0.00611911425694926,0.6051029821416786,0.014195386650678802,0.022134487400247975,0.0006359832788169337,0.08986160293516281,0.002841802577713468,176.1,3.0061694200882172e-05,0.0001571235318930525,-0.0030609359769094846,-0.0005358107091394393,-0.0008389769666101721,REJECT
