wafer_id,n_dies,n_pos,AP_A,AP_B,delta_AP,AUC_A,AUC_B,delta_AUC,F1_A,F1_B,delta_F1
W_F_0000,4999,420,0.6174201966173206,0.6996290212821595,0.08220882466483892,0.8605200761239198,0.9052444388980752,0.04472436277415537,0.5687203791469194,0.630173564753004,0.06145318560608459
W_F_0001,1378,76,0.5177062745778949,0.6070063639958527,0.08930008941795786,0.841347319912685,0.9004871048589215,0.05913978494623651,0.5,0.5737704918032787,0.07377049180327866
W_F_0002,1862,4,0.7516181229773463,0.79,0.03838187702265372,0.9173842841765338,0.9971743810548978,0.07979009687836391,0.8571428571428571,0.8571428571428571,0.0
W_F_0004,427,21,0.49951889854201553,0.6279986995244924,0.12847980098247685,0.8420126671358198,0.8851747595589959,0.043162092423176146,0.42424242424242425,0.5625,0.13825757575757575
W_F_0005,501,11,0.600627707332419,0.6627794646255936,0.06215175729317457,0.8417439703153989,0.9398886827458256,0.09814471243042666,0.5333333333333333,0.625,0.09166666666666667
W_F_0006,1326,47,0.5978384437347578,0.6682176989459561,0.07037925521119826,0.9125813052085239,0.9306306456174205,0.018049340408896608,0.6086956521739131,0.5822784810126582,-0.02641717116125486
W_F_0007,2,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
W_F_0008,2424,109,0.5281330972256599,0.6085747959570248,0.08044169873136486,0.8388610379059585,0.8864604593100441,0.047599421404085684,0.543046357615894,0.5609756097560976,0.017929252140203578
W_F_0011,429,50,0.8688788339812213,0.8491522698337275,-0.019726564147493852,0.9474934036939313,0.9303430079155672,-0.01715039577836408,0.7394957983193278,0.7155963302752294,-0.02389946804409837
W_F_0012,814,4,0.52881000578369,0.5161637931034484,-0.012646212680241575,0.8410493827160495,0.9262345679012345,0.08518518518518503,0.6666666666666666,0.6666666666666666,0.0
W_F_0013,868,54,0.601587448259159,0.6775985288379154,0.07601108057875638,0.8688688688688689,0.8811993811993812,0.0123305123305123,0.5777777777777777,0.5964912280701754,0.018713450292397682
W_F_0015,1421,110,0.6039100086209616,0.6798807390698084,0.07597073044884683,0.8374800637958533,0.8821302267526524,0.04465016295679913,0.5847953216374269,0.6455026455026455,0.0607073238652186
W_F_0017,310,0,,,,,,,,,
W_F_0018,981,5,0.21767940518695808,0.21950014651164076,0.0018207413246826842,0.7995901639344263,0.8616803278688525,0.062090163934426235,0.3333333333333333,0.3333333333333333,0.0
W_F_0020,523,0,,,,,,,,,
W_F_0021,609,15,0.570711895017286,0.6122718326812353,0.041559937663949276,0.8629629629629629,0.8802469135802469,0.01728395061728394,0.6363636363636364,0.6956521739130435,0.059288537549407105
W_F_0022,1079,34,0.5007927998765518,0.5942278627160639,0.09343506283951208,0.8123839009287924,0.8883478750351815,0.07596397410638911,0.5531914893617021,0.5925925925925926,0.03940110323089041
W_F_0023,646,9,0.282211392739091,0.3697220789184703,0.0875106861793793,0.7704517704517705,0.8695272980987266,0.09907552764695615,0.36363636363636365,0.3333333333333333,-0.03030303030303033
