experiment,fold,average_precision,roc_auc,fail_f1,fail_precision,fail_recall,threshold
block_only_LRT,0,0.14817096446450917,0.7463754367615703,0.21354526606772634,0.16524064171122996,0.3017578125,0.10368651638814211
block_only_LRT,1,0.17974845868682313,0.7460434008037934,0.24197384066587396,0.22325836533187055,0.26411421155094095,0.1107562031986389
block_only_LRT,2,0.15063263875055996,0.7385151830894228,0.20921985815602837,0.19831932773109243,0.22138836772983114,0.12432940811013529
block_only_LRT,3,0.15357217762056732,0.7511980481539965,0.21928166351606806,0.18550106609808104,0.26810477657935283,0.11227511209058075
block_only_LRT,4,0.16331404176983746,0.7443968031195027,0.23142927188036283,0.189634391321816,0.2968553459119497,0.10185409287313132
block_only_CNN,0,0.07316344013910853,0.6530977100428876,0.13306451612903225,0.08967391304347826,0.2578125,0.08096731718104173
block_only_CNN,1,0.08040786232109248,0.6534162221830949,0.15202369200394866,0.09711711711711711,0.34977287475665153,0.07046229444969904
block_only_CNN,2,0.10451531386701993,0.6733372042880255,0.1703197987782968,0.13803145020384391,0.2223264540337711,0.08284134453477264
block_only_CNN,3,0.10314041329959125,0.7330513053608738,0.17743031951053706,0.11382468382032272,0.40215716486902925,0.07551987742819168
block_only_CNN,4,0.07405971495264188,0.6541006260273341,0.1298330404217926,0.0786531807293053,0.37169811320754714,0.05302881287369238
block_only_LRT_CNN,0,0.0959234629731024,0.6883228630775401,0.17424242424242425,0.1287313432835821,0.26953125,0.09116704010930995
block_only_LRT_CNN,1,0.10067182913367008,0.6868511734580586,0.18450333805381347,0.13403880070546736,0.29591174561972744,0.08451326427936202
block_only_LRT_CNN,2,0.12850903413594905,0.7036634481892629,0.19051799824407376,0.17904290429042904,0.20356472795497185,0.11129394473085172
block_only_LRT_CNN,3,0.1236345277517472,0.7509694430520336,0.19240391175801683,0.13649564375605033,0.3258859784283513,0.08983296684038414
block_only_LRT_CNN,4,0.09825609752051759,0.6925728710842441,0.1664118803232147,0.12746738039478087,0.23962264150943396,0.08025229858520029
model_b_LRT,0,0.6354315661460528,0.9207702591350103,0.6012621916236374,0.7287899860917941,0.51171875,0.2811601824639207
model_b_LRT,1,0.6596027750478723,0.9227260704810292,0.6119801602441816,0.7425925925925926,0.5204412719013628,0.25952397633668006
model_b_LRT,2,0.6706888963498209,0.9330378285123262,0.6066922654964344,0.7305151915455746,0.5187617260787992,0.32503997783662614
model_b_LRT,3,0.6804690185740887,0.9373273519123574,0.6263982102908278,0.7470651013874067,0.539291217257319,0.28163180195906273
model_b_LRT,4,0.6324883545022331,0.9154958913893931,0.5878764773160503,0.7463697967086157,0.4849056603773585,0.29359698804264744
model_b_CNN,0,0.550883058773566,0.8828004271644303,0.544055944055944,0.958128078817734,0.3798828125,0.4931728519467997
model_b_CNN,1,0.5686444441237678,0.889981263210275,0.5399401964972234,0.79,0.41012329656067487,0.3563318791853787
model_b_CNN,2,0.6145615938306799,0.906993598242517,0.5844083006169377,0.7266387726638772,0.48874296435272047,0.34901403221419447
model_b_CNN,3,0.6149903403388945,0.9115237119132169,0.5803698435277382,0.7546239210850801,0.4714946070878274,0.41177232431622585
model_b_CNN,4,0.5587247091730838,0.8871675647504038,0.5337781484570475,0.7920792079207921,0.4025157232704403,0.2593030856671249
model_b_LRT_CNN,0,0.5654093594048735,0.8922649571735259,0.5552010210593491,0.8011049723756906,0.4248046875,0.3520915816601869
model_b_LRT_CNN,1,0.5848750477054535,0.8972546345306556,0.5505665127989928,0.7790973871733967,0.42569759896171316,0.35364769157385967
model_b_LRT_CNN,2,0.6296428018895196,0.9149347755524689,0.5966724039013196,0.7680945347119645,0.4878048780487805,0.3845652406169539
model_b_LRT_CNN,3,0.6229136322052068,0.9158741640295566,0.5861906998590888,0.7509025270758123,0.48073959938366717,0.4445823201868751
model_b_LRT_CNN,4,0.5760700868605306,0.8956303117869453,0.5411140583554377,0.680648236415634,0.4490566037735849,0.1946246909871314
