experiment,average_precision,roc_auc,fail_f1,fail_precision,fail_recall,accuracy,threshold,ap_std,f1_std,seconds
model_a_baseline,0.5822325958157623,0.8962904089904902,0.5500876921489735,0.8399495904221802,0.4089584292069336,0.9716886202665593,0.32676767676767676,0.027593496485060723,0.016021311979485635,95.87
model_a_enhanced_spatial,0.5813361805160115,0.8959355293997043,0.5492279927812312,0.7927641099855283,0.42015646571560056,0.97081220745665,0.29707070707070704,0.027136099625140825,0.012613203660214848,143.98
spatial_only_baseline,0.05216733021821283,0.56757060132494,0.09791972378075098,0.05516865735517255,0.43503604847369226,0.6607763069911774,0.059494949494949496,0.013085789292751821,0.023117391495693265,65.6
spatial_only_enhanced,0.04867880379047899,0.5465192720476306,0.08819670260710823,0.047641939698740234,0.5928823439177788,0.4811960762673903,0.049595959595959596,0.011549244062999852,0.015332601332017593,296.67
